Year,Region,Index,Source,CO2eq,Unit
1990,Quebec,98,Transport,24.25,Mt
1990,Quebec,99,Heavy Industry,24.97,Mt
1990,Quebec,100,Buildings,11.7,Mt
1990,Quebec,101,Agriculture,7.64,Mt
1990,Quebec,102,Waste,5.22,Mt
1990,Quebec,103,"Light Manufacturing, Construction and Forest Resources",5.29,Mt
1990,Saskatchewan,104,Provincial Inventory Total,45.13,Mt
1990,Saskatchewan,105,Oil and Gas,13.72,Mt
1990,Saskatchewan,106,Electricity,11.13,Mt
1990,Saskatchewan,107,Transport,5.48,Mt
1990,Saskatchewan,108,Heavy Industry,1.61,Mt
1990,Saskatchewan,109,Buildings,3.1,Mt
1990,Saskatchewan,110,Agriculture,8.41,Mt
1990,Saskatchewan,111,Waste,1.02,Mt
1990,Saskatchewan,112,Coal Production,0.04,Mt
1990,Saskatchewan,113,"Light Manufacturing, Construction and Forest Resources",0.62,Mt
1990,Yukon,114,Territorial Inventory Total,0.55,Mt
1990,Yukon,115,Oil and Gas,0,Mt
1990,Yukon,116,Electricity,0.09,Mt
1990,Yukon,117,Transport,0.28,Mt
1990,Yukon,118,Heavy Industry,0.03,Mt
1990,Yukon,119,Buildings,0.11,Mt
1990,Yukon,120,Agriculture,0,Mt
1990,Yukon,121,Waste,0.02,Mt
1990,Yukon,122,"Light Manufacturing, Construction and Forest Resources",0.02,Mt
1991,Alberta,123,Provincial Inventory Total,166.56,Mt
1991,Alberta,124,Oil and Gas,62.83,Mt
1991,Alberta,125,Electricity,41.56,Mt
1991,Alberta,126,Transport,14.3,Mt
1991,Alberta,127,Heavy Industry,13.04,Mt
1991,Alberta,128,Buildings,11.78,Mt
1991,Alberta,129,Agriculture,15.21,Mt
1991,Alberta,130,Waste,2.25,Mt
1991,Alberta,131,Coal Production,0.63,Mt
1991,Alberta,132,"Light Manufacturing, Construction and Forest Resources",4.97,Mt
1991,British Columbia,133,Provincial Inventory Total,50.55,Mt
1991,British Columbia,134,Oil and Gas,7.28,Mt
1991,British Columbia,135,Electricity,0.53,Mt
1991,British Columbia,136,Transport,15.61,Mt
1991,British Columbia,137,Heavy Industry,8.98,Mt
1991,British Columbia,138,Buildings,7.66,Mt
1991,British Columbia,139,Agriculture,2.57,Mt
1991,British Columbia,140,Waste,4.09,Mt
1991,British Columbia,141,Coal Production,1.83,Mt
1991,British Columbia,142,"Light Manufacturing, Construction and Forest Resources",2,Mt
1991,Canada,143,National Inventory Total,587.91,Mt
1991,Canada,144,Oil and Gas,102.18,Mt
1991,Canada,145,Electricity,96.1,Mt
1991,Canada,146,Transport,114.32,Mt
1991,Canada,147,Heavy Industry,97.15,Mt
1991,Canada,148,Buildings,70.58,Mt
1991,Canada,149,Agriculture,52.27,Mt
1991,Canada,150,Waste,24.51,Mt
1991,Canada,151,Coal Production,4.17,Mt
1991,Canada,152,"Light Manufacturing, Construction and Forest Resources",26.63,Mt
1991,Manitoba,153,Provincial Inventory Total,17.92,Mt
1991,Manitoba,154,Oil and Gas,1.67,Mt
1991,Manitoba,155,Electricity,0.39,Mt
1991,Manitoba,156,Transport,4.85,Mt
1991,Manitoba,157,Heavy Industry,1.23,Mt
1991,Manitoba,158,Buildings,2.98,Mt
1991,Manitoba,159,Agriculture,5.25,Mt
1991,Manitoba,160,Waste,1.02,Mt
1991,Manitoba,161,"Light Manufacturing, Construction and Forest Resources",0.53,Mt
1991,New Brunswick,162,Provincial Inventory Total,15.56,Mt
1991,New Brunswick,163,Oil and Gas,1.16,Mt
1991,New Brunswick,164,Electricity,5.44,Mt
1991,New Brunswick,165,Transport,3.63,Mt
1991,New Brunswick,166,Heavy Industry,1.72,Mt
1991,New Brunswick,167,Buildings,1.74,Mt
1991,New Brunswick,168,Agriculture,0.56,Mt
1991,New Brunswick,169,Waste,0.86,Mt
1991,New Brunswick,170,Coal Production,0.01,Mt
1991,New Brunswick,171,"Light Manufacturing, Construction and Forest Resources",0.44,Mt
1991,Newfoundland and Labrador,172,Provincial Inventory Total,8.53,Mt
1991,Newfoundland and Labrador,173,Oil and Gas,1.04,Mt
1991,Newfoundland and Labrador,174,Electricity,1.3,Mt
1991,Newfoundland and Labrador,175,Transport,2.88,Mt
1991,Newfoundland and Labrador,176,Heavy Industry,1.3,Mt
1991,Newfoundland and Labrador,177,Buildings,1.01,Mt
1991,Newfoundland and Labrador,178,Agriculture,0.09,Mt
1991,Newfoundland and Labrador,179,Waste,0.73,Mt
1991,Newfoundland and Labrador,180,"Light Manufacturing, Construction and Forest Resources",0.18,Mt
1991,Northwest Territories and Nunavut,181,Territorial Inventory Total,1.76,Mt
1991,Northwest Territories and Nunavut,182,Oil and Gas,0.31,Mt
1991,Northwest Territories and Nunavut,183,Electricity,0.16,Mt
1991,Northwest Territories and Nunavut,184,Transport,0.52,Mt
1991,Northwest Territories and Nunavut,185,Heavy Industry,0.11,Mt
1991,Northwest Territories and Nunavut,186,Buildings,0.57,Mt
1991,Northwest Territories and Nunavut,187,Agriculture,0.01,Mt
1991,Northwest Territories and Nunavut,188,Waste,0.05,Mt
1991,Northwest Territories and Nunavut,189,"Light Manufacturing, Construction and Forest Resources",0.04,Mt
1991,Nova Scotia,190,Provincial Inventory Total,19.19,Mt
1991,Nova Scotia,191,Oil and Gas,0.79,Mt
1991,Nova Scotia,192,Electricity,7.1,Mt
1991,Nova Scotia,193,Transport,4.18,Mt
1991,Nova Scotia,194,Heavy Industry,0.84,Mt
1991,Nova Scotia,195,Buildings,2.69,Mt
1991,Nova Scotia,196,Agriculture,0.65,Mt
1991,Nova Scotia,197,Waste,0.91,Mt
1991,Nova Scotia,198,Coal Production,1.67,Mt
1991,Nova Scotia,199,"Light Manufacturing, Construction and Forest Resources",0.35,Mt
